"model_key","model_label","fold","log_loss","brier"
"kick_logit","Logistic: angle + distance",1,0.52057614306962,0.175902443235285
"kick_logit","Logistic: angle + distance",2,0.520215375221866,0.175749225293602
"kick_logit","Logistic: angle + distance",3,0.509935874272048,0.172161945705975
"kick_logit","Logistic: angle + distance",4,0.515885163206118,0.175081058004943
"kick_logit","Logistic: angle + distance",5,0.525015177593142,0.177700371374762
"kick_gam","GAM: s(angle) + s(distance)",1,0.518386667075844,0.176279572741539
"kick_gam","GAM: s(angle) + s(distance)",2,0.513147787098655,0.17387919380522
"kick_gam","GAM: s(angle) + s(distance)",3,0.505390252173631,0.170802012363961
"kick_gam","GAM: s(angle) + s(distance)",4,0.534234734514028,0.181164756553254
"kick_gam","GAM: s(angle) + s(distance)",5,0.511282658860489,0.172060390250023
